Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.05     0.00     4012     0.00     0.02  BGBCC_EmitSigProto
  0.00      1.05     0.00     3985     0.00     0.00  sxil_alc_tyname
  0.00      1.05     0.00     3983     0.00     0.00  SXIL_TransBlock
  0.00      1.05     0.00     3971     0.00     0.04  BASM_AddSym
  0.00      1.05     0.00     3971     0.00     0.00  BASM_LinkRefChain
  0.00      1.05     0.00     3971     0.00     0.00  BASM_UnlinkRefChain
  0.00      1.05     0.00     3963     0.00     0.03  BGBCC_CompileProto
  0.00      1.05     0.00     3902     0.00     0.00  SXIL_SetupFuncArgs
  0.00      1.05     0.00     3239     0.00     0.00  BASM_PP_PrintName
  0.00      1.05     0.00     3142     0.00     0.00  BASM_ParseArg
  0.00      1.05     0.00     2996     0.00     0.00  BASM_Parse_MatchTokenListLen
  0.00      1.05     0.00     2996     0.00     0.00  BASM_Parse_OpChar
  0.00      1.05     0.00     2756     0.00     0.00  BASM_ParseReg
  0.00      1.05     0.00     2668     0.00     0.00  SXIL_TypeFloatP
  0.00      1.05     0.00     2591     0.00     0.00  BASM_PP_LookupDefine
  0.00      1.05     0.00     2589     0.00     0.00  BASM_PP_Expand
  0.00      1.05     0.00     2584     0.00     0.00  SXIL_TypeDoubleP
  0.00      1.05     0.00     2532     0.00     0.00  SXIL_TypeRetSSEP
  0.00      1.05     0.00     2303     0.00     0.00  SXIL_TypeSSE64P
  0.00      1.05     0.00     2293     0.00     0.00  SXIL_TypeSSE128P
  0.00      1.05     0.00     2164     0.00     0.01  BASM_ParseOpcode
  0.00      1.05     0.00     2160     0.00     0.00  BASM_OpSingleP
  0.00      1.05     0.00     2018     0.00     0.00  BASM_OpRegRegP
  0.00      1.05     0.00     1970     0.00     0.00  BASM_ParseSpecial
  0.00      1.05     0.00     1906     0.00     0.00  BASM_AddrOverride
  0.00      1.05     0.00     1906     0.00     0.00  BASM_OpOnlySingleP
  0.00      1.05     0.00     1906     0.00     0.00  BASM_OutBodyBytes
  0.00      1.05     0.00     1906     0.00     0.00  BASM_Reg16P
  0.00      1.05     0.00     1906     0.00     0.00  BASM_Reg32P
  0.00      1.05     0.00     1814     0.00     0.00  BASM_OpMemImmP
  0.00      1.05     0.00     1732     0.00     0.00  BASM_OutSufBytes
  0.00      1.05     0.00     1690     0.00     0.00  SXIL_RegXRegP
  0.00      1.05     0.00     1602     0.00     0.00  BASM_OutModRM
  0.00      1.05     0.00     1444     0.00     0.00  SXIL_FlushReg2
  0.00      1.05     0.00     1432     0.00     0.00  BASM_ModRM
